DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_0,OUTPUTVWAP_0
1/3/11,9.65,9.67,9.37,9.43,8.8189088E7,8.3867839E8,9.510001849661945,9.445193696355968
1/4/11,9.43,9.55,9.38,9.42,4.512501E7,4.2621446E8,9.445193696355968,9.385583313767444
1/5/11,9.38,9.42,9.35,9.39,4.821316E7,4.5250863E8,9.385583313767444,9.228735749132806
1/6/11,9.33,9.34,9.15,9.22,6.5663811E7,6.0599396E8,9.228735749132806,9.371508871922433
1/7/11,9.25,9.61,9.13,9.4,9.548776E7,8.9486439E8,9.371508871922433,9.356987002197371
1/8/11,9.33,9.46,9.27,9.32,4.4930056E7,4.2040995E8,9.356987002197371,9.206241761752716
1/9/11,9.25,9.31,9.13,9.26,4.1364988E7,3.8081608E8,9.206241761752716,9.239165860028013
1/10/11,9.19,9.31,9.17,9.26,3.1523822E7,2.9125382E8,9.239165860028013,9.335944313013457
1/11/11,9.31,9.4,9.27,9.28,3.0410552E7,2.8391122E8,9.335944313013457,9.05720071105574
1/12/11,9.09,9.15,9.0,9.03,7.1952165E7,6.516852E8,9.05720071105574,8.840501526199548
1/13/11,8.95,9.09,8.62,8.73,9.8624718E7,8.7189197E8,8.840501526199548,8.732613685463074
1/14/11,8.52,8.95,8.47,8.87,1.10925176E8,9.6866671E8,8.732613685463074,8.993751799145064
1/15/11,9.02,9.08,8.87,8.91,6.7295852E7,6.0524219E8,8.993751799145064,9.005165525934265
1/16/11,8.73,9.15,8.71,9.1,7.4782511E7,6.7342889E8,9.005165525934265,9.067317871009001
1/17/11,9.12,9.15,8.98,9.03,5.116264E7,4.6390792E8,9.067317871009001,9.218814500186344
1/18/11,9.07,9.39,8.99,9.37,8.9493443E7,8.2502345E8,9.218814500186344,9.399761446716784
1/19/11,9.35,9.51,9.27,9.35,9.2194078E7,8.6660234E8,9.399761446716784,9.32670955281297
1/20/11,9.34,9.41,9.28,9.28,4.4535594E7,4.1537055E8,9.32670955281297,9.193769334448628
1/21/11,9.32,9.33,9.09,9.12,4.0832235E7,3.7540215E8,9.193769334448628,9.005234962077418
1/22/11,8.99,9.08,8.94,9.02,5.5545006E7,5.0019583E8,9.005234962077418,9.021425055334634
1/23/11,9.04,9.15,8.95,8.98,4.276255E7,3.8577914E8,9.021425055334634,9.09985871237851
1/24/11,9.03,9.19,8.93,9.18,4.8210876E7,4.3871216E8,9.09985871237851,9.202879318449751
1/25/11,9.21,9.34,9.08,9.1,5.3322202E7,4.9071779E8,9.202879318449751,9.37873028897822
1/26/11,9.15,9.53,9.11,9.48,1.2103888E8,1.13519101E9,9.37873028897822,9.426895332989591
1/27/11,9.42,9.51,9.32,9.46,6.1998169E7,5.8445025E8,9.426895332989591,9.211580610932973
1/28/11,9.29,9.29,9.13,9.18,7.5330948E7,6.939171E8,9.211580610932973,9.27909750597019
1/29/11,9.25,9.4,9.15,9.19,4.9166774E7,4.5622329E8,9.27909750597019,9.260732958930204
1/30/11,9.18,9.35,9.16,9.29,3.4349428E7,3.1810088E8,9.260732958930204,9.367734273079394
