DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_CHANGE_0,OUTPUTVWAP_CHANGE_0
1/3/11,9.65,9.67,9.37,9.43,8.8189088E7,8.3867839E8,-0.014507580345912454,-0.006814736141011451
1/4/11,9.43,9.55,9.38,9.42,4.512501E7,4.2621446E8,-0.006814736141011451,-0.006311186885613776
1/5/11,9.38,9.42,9.35,9.39,4.821316E7,4.5250863E8,-0.006311186885613776,-0.016711541455773277
1/6/11,9.33,9.34,9.15,9.22,6.5663811E7,6.0599396E8,-0.016711541455773277,0.015470496357319941
1/7/11,9.25,9.61,9.13,9.4,9.548776E7,8.9486439E8,0.015470496357319941,-0.0015495764794685638
1/8/11,9.33,9.46,9.27,9.32,4.4930056E7,4.2040995E8,-0.0015495764794685638,-0.01611044670781891
1/9/11,9.25,9.31,9.13,9.26,4.1364988E7,3.8081608E8,-0.01611044670781891,0.003576279998650452
1/10/11,9.19,9.31,9.17,9.26,3.1523822E7,2.9125382E8,0.003576279998650452,0.01047480415998831
1/11/11,9.31,9.4,9.27,9.28,3.0410552E7,2.8391122E8,0.01047480415998831,-0.029857033483926515
1/12/11,9.09,9.15,9.0,9.03,7.1952165E7,6.516852E8,-0.029857033483926515,-0.02392562467912158
1/13/11,8.95,9.09,8.62,8.73,9.8624718E7,8.7189197E8,-0.02392562467912158,-0.012203814502688523
1/14/11,8.52,8.95,8.47,8.87,1.10925176E8,9.6866671E8,-0.012203814502688523,0.029903774870597994
1/15/11,9.02,9.08,8.87,8.91,6.7295852E7,6.0524219E8,0.029903774870597994,0.0012690729124063076
1/16/11,8.73,9.15,8.71,9.1,7.4782511E7,6.7342889E8,0.0012690729124063076,0.006901854818297517
1/17/11,9.12,9.15,8.98,9.03,5.116264E7,4.6390792E8,0.006901854818297517,0.01670798700702048
1/18/11,9.07,9.39,8.99,9.37,8.9493443E7,8.2502345E8,0.01670798700702048,0.019628006022551246
1/19/11,9.35,9.51,9.27,9.35,9.2194078E7,8.6660234E8,0.019628006022551246,-0.007771675304518562
1/20/11,9.34,9.41,9.28,9.28,4.4535594E7,4.1537055E8,-0.007771675304518562,-0.014253710551568112
1/21/11,9.32,9.33,9.09,9.12,4.0832235E7,3.7540215E8,-0.014253710551568112,-0.020506754684912584
1/22/11,8.99,9.08,8.94,9.02,5.5545006E7,5.0019583E8,-0.020506754684912584,0.0017978535069206364
1/23/11,9.04,9.15,8.95,8.98,4.276255E7,3.8577914E8,0.0017978535069206364,0.008694153813038175
1/24/11,9.03,9.19,8.93,9.18,4.8210876E7,4.3871216E8,0.008694153813038175,0.011321121495117652
1/25/11,9.21,9.34,9.08,9.1,5.3322202E7,4.9071779E8,0.011321121495117652,0.01910825562777143
1/26/11,9.15,9.53,9.11,9.48,1.2103888E8,1.13519101E9,0.01910825562777143,0.00513556126760298
1/27/11,9.42,9.51,9.32,9.46,6.1998169E7,5.8445025E8,0.00513556126760298,-0.022840470213254676
1/28/11,9.29,9.29,9.13,9.18,7.5330948E7,6.939171E8,-0.022840470213254676,0.007329566758291534
1/29/11,9.25,9.4,9.15,9.19,4.9166774E7,4.5622329E8,0.007329566758291534,-0.0019791307320750646
1/30/11,9.18,9.35,9.16,9.29,3.4349428E7,3.1810088E8,-0.0019791307320750646,0.011554302950287351
1/31/11,9.31,9.43,9.28,9.37,5.8506018E7,5.4806883E8,0.011554302950287351,-0.009634555976018045
2/1/11,9.35,9.4,9.2,9.29,3.2039819E7,2.9724879E8,-0.009634555976018045,-0.012344775173325065
2/2/11,9.2,9.22,9.11,9.15,3.0840689E7,2.8259175E8,-0.012344775173325065,-0.003698849114770909
2/3/11,9.09,9.22,9.03,9.11,4.2139539E7,3.8469436E8,-0.003698849114770909,0.010219363554341795
2/4/11,9.13,9.38,9.08,9.29,4.0598521E7,3.7441388E8,0.010219363554341795,0.005176707388466773
2/5/11,9.3,9.33,9.2,9.26,2.841365E7,2.6339721E8,0.005176707388466773,0.00439550360983591
2/6/11,9.3,9.41,9.22,9.3,3.8055811E7,3.543316E8,0.00439550360983591,-0.016688477779657505
2/7/11,9.18,9.22,9.12,9.15,2.7627217E7,2.529398E8,-0.016688477779657505,-0.011283920507604335
2/8/11,9.2,9.21,8.94,9.1,5.0592099E7,4.5796715E8,-0.011283920507604335,-0.002322810843322705
2/9/11,9.1,9.17,8.94,8.95,5.6765027E7,5.1265184E8,-0.002322810843322705,-0.002927969274502264
2/10/11,9.02,9.07,8.95,8.98,4.222405E7,3.8021399E8,-0.002927969274502264,-0.020615443801093012
2/11/11,8.91,8.92,8.79,8.81,4.1510239E7,3.6608058E8,-0.020615443801093012,0.001769333047941098
2/12/11,8.8,8.92,8.73,8.86,3.4551618E7,3.0525134E8,0.001769333047941098,0.02176105492366975
2/13/11,8.86,9.22,8.76,9.09,7.0353056E7,6.3506986E8,0.02176105492366975,-0.012391826456144141
2/14/11,9.01,9.02,8.8,8.82,5.3791988E7,4.7955763E8,-0.012391826456144141,-0.02510903254556761
2/15/11,8.71,8.81,8.61,8.73,5.4164832E7,4.7075686E8,-0.02510903254556761,-0.018374023926968405
2/16/11,8.65,8.72,8.4,8.44,8.174838E7,6.9743615E8,-0.018374023926968405,-0.0011842372740944764
2/17/11,8.52,8.58,8.48,8.52,4.0252611E7,3.4300839E8,-0.0011842372740944764,-0.0037669107620616994
2/18/11,8.59,8.6,8.4,8.43,4.2407399E7,3.6000894E8,-0.0037669107620616994,-0.005600094598364315
2/19/11,8.39,8.52,8.33,8.45,4.3757787E7,3.693925E8,-0.005600094598364315,0.010189303071789469
2/20/11,8.48,8.64,8.44,8.54,6.0468787E7,5.1566392E8,0.010189303071789469,-0.00787099740694917
2/21/11,8.52,8.56,8.41,8.42,3.2428434E7,2.7436557E8,-0.00787099740694917,0.02152676976136536
2/22/11,8.78,8.78,8.48,8.57,5.9130344E7,5.1105047E8,0.02152676976136536,0.018508499386153197
2/23/11,8.54,8.92,8.49,8.85,8.9412222E7,7.8707285E8,0.018508499386153197,0.005299973343552513
2/24/11,8.82,8.94,8.76,8.87,5.1298778E7,4.5396329E8,0.005299973343552513,-0.005685417113422382
2/25/11,8.84,8.88,8.73,8.83,4.0504198E7,3.5639989E8,-0.005685417113422382,0.014831791037817925
