DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,OUTPUTCLOSE_0
1/3/11,9.65,9.67,9.37,9.43,8.8189088E7,8.3867839E8,9.42
1/4/11,9.43,9.55,9.38,9.42,4.512501E7,4.2621446E8,9.39
1/5/11,9.38,9.42,9.35,9.39,4.821316E7,4.5250863E8,9.22
1/6/11,9.33,9.34,9.15,9.22,6.5663811E7,6.0599396E8,9.4
1/7/11,9.25,9.61,9.13,9.4,9.548776E7,8.9486439E8,9.32
1/8/11,9.33,9.46,9.27,9.32,4.4930056E7,4.2040995E8,9.26
1/9/11,9.25,9.31,9.13,9.26,4.1364988E7,3.8081608E8,9.26
1/10/11,9.19,9.31,9.17,9.26,3.1523822E7,2.9125382E8,9.28
1/11/11,9.31,9.4,9.27,9.28,3.0410552E7,2.8391122E8,9.03
1/12/11,9.09,9.15,9.0,9.03,7.1952165E7,6.516852E8,8.73
1/13/11,8.95,9.09,8.62,8.73,9.8624718E7,8.7189197E8,8.87
1/14/11,8.52,8.95,8.47,8.87,1.10925176E8,9.6866671E8,8.91
1/15/11,9.02,9.08,8.87,8.91,6.7295852E7,6.0524219E8,9.1
1/16/11,8.73,9.15,8.71,9.1,7.4782511E7,6.7342889E8,9.03
1/17/11,9.12,9.15,8.98,9.03,5.116264E7,4.6390792E8,9.37
1/18/11,9.07,9.39,8.99,9.37,8.9493443E7,8.2502345E8,9.35
1/19/11,9.35,9.51,9.27,9.35,9.2194078E7,8.6660234E8,9.28
1/20/11,9.34,9.41,9.28,9.28,4.4535594E7,4.1537055E8,9.12
1/21/11,9.32,9.33,9.09,9.12,4.0832235E7,3.7540215E8,9.02
1/22/11,8.99,9.08,8.94,9.02,5.5545006E7,5.0019583E8,8.98
1/23/11,9.04,9.15,8.95,8.98,4.276255E7,3.8577914E8,9.18
1/24/11,9.03,9.19,8.93,9.18,4.8210876E7,4.3871216E8,9.1
1/25/11,9.21,9.34,9.08,9.1,5.3322202E7,4.9071779E8,9.48
1/26/11,9.15,9.53,9.11,9.48,1.2103888E8,1.13519101E9,9.46
