DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20101013,14.660,15.580,13.800,14.860,2698788900,184563300
20101014,14.000,16.350,13.800,16.350,2360113900,154257330
20101015,15.850,17.990,15.750,17.990,1788417700,106128681
20101018,18.900,19.790,18.610,19.790,1667271600,85398176
20101019,19.790,20.990,19.430,20.610,1665365800,82556980
20101020,20.110,22.670,19.550,21.860,1600285900,75415040
20101021,21.260,21.490,20.500,20.850,1033816480,49301136
20101022,20.510,21.490,20.300,20.320,911527390,43833220
20101025,20.280,22.000,19.680,21.570,1303155400,62129914
20101026,21.240,22.090,20.850,20.910,1007338390,47141634
20101027,20.450,21.340,20.020,20.300,527273370,25609963
20101028,20.100,21.550,19.860,21.100,746119270,35694913
20101029,20.890,21.100,19.900,20.120,637489400,31439358
20101101,19.850,20.890,19.800,20.470,661635280,32471635
20101102,20.250,21.600,19.900,20.790,959406840,46298283
20101103,20.500,22.870,20.000,22.120,1658328400,76145362
20101104,21.720,22.380,21.200,22.140,943295350,43264463
20101105,23.600,24.300,22.700,22.940,1102716280,47001324
20101108,23.230,23.880,22.720,23.430,634997310,27345881
20101109,23.120,23.440,22.530,22.810,534189880,23271351
20101110,22.400,23.230,22.000,22.760,556884800,24530913
20101111,22.580,23.960,22.340,22.700,846376080,36528621
20101112,22.380,22.450,20.430,20.430,890106700,42047199
20101115,20.280,20.580,19.020,19.740,569806180,29095543
20101116,19.460,20.380,18.810,18.960,571071730,29384137
20101117,18.310,18.690,17.550,17.880,451069610,24846721
20101118,18.100,18.440,17.550,18.180,303714810,16804686
20101119,18.210,18.370,16.950,18.180,556555430,31350401
20101122,17.780,18.100,17.520,17.620,361797260,20362381
20101123,17.560,17.930,17.100,17.590,334474530,19093400
20101124,17.430,18.670,17.430,18.210,473374510,26024337
20101125,18.390,18.390,17.810,18.200,339249250,18729269
20101126,18.100,18.100,17.500,17.670,254185790,14322839
20101129,17.430,17.500,16.800,16.890,347004890,20386456
20101130,16.800,17.060,15.740,16.230,373978650,22980461
20101201,16.230,16.490,16.140,16.180,198868950,12195204
20101202,16.590,16.770,16.200,16.230,259072490,15689025
20101203,16.050,16.460,15.800,16.360,189635540,11703468
20101206,16.400,17.930,16.110,17.820,650488460,37970450
20101207,17.600,18.600,17.280,17.870,666945100,37154450
20101208,17.670,17.880,17.310,17.350,271225230,15446640
20101209,17.110,17.670,16.800,16.820,202607240,11765810
20101210,16.580,17.430,16.320,17.060,189788350,11239775
20101213,17.150,17.880,16.900,17.820,288348560,16533562
20101214,17.810,18.000,17.500,17.660,210288770,11909929
20101215,17.590,18.500,17.380,17.870,418434510,23335182
20101216,17.710,17.860,17.400,17.480,189350510,10744527
20101217,17.440,17.740,17.290,17.400,136793590,7827381
20101220,17.420,17.500,16.230,16.740,235631530,14025067
20101221,16.800,17.590,16.530,17.330,247230330,14459185
20101222,17.220,17.290,16.700,16.780,175089080,10311933
20101223,16.780,17.250,16.560,16.760,127662703,7572265
20101224,16.650,16.980,16.400,16.650,109211580,6548771
20101227,16.790,17.500,16.250,16.410,272404280,16055877
20101228,16.000,16.330,15.610,15.640,183345220,11518503
20101229,15.660,15.850,15.510,15.810,86062896,5482010
20101230,15.810,15.990,15.540,15.770,102851367,6533431
20101231,15.840,16.240,15.780,16.200,128494861,7994535
20110104,16.320,16.720,16.140,16.510,168127200,10208815
20110105,16.350,16.500,16.100,16.190,120180334,7388856
20110106,16.140,16.480,15.950,16.010,106847970,6609258
20110107,15.950,16.600,15.680,16.310,225695110,13879394
20110110,16.240,16.340,15.650,15.700,130604881,8184033
20110111,15.680,15.860,15.530,15.720,83231502,5302523
20110112,15.730,15.880,15.520,15.700,79102011,5037060
20110113,15.750,15.750,14.200,14.590,682640880,46766646
20110114,14.200,14.350,14.020,14.060,228560830,16142287
20110117,14.000,14.000,13.140,13.160,167709280,12429034
20110118,13.080,13.570,13.030,13.190,129641549,9755724
20110119,13.200,13.490,13.140,13.480,118407692,8875971
20110120,13.420,13.450,12.600,12.630,148151200,11361564
20110121,12.580,13.200,12.510,12.930,147836410,11434320
20110124,12.900,13.400,12.820,13.010,121887929,9293973
20110125,13.000,13.350,12.820,13.330,134611050,10220030
20110126,13.400,13.690,13.300,13.440,150483940,11154354
20110127,13.310,13.900,13.130,13.730,188782620,13886584
20110128,13.670,13.800,13.480,13.600,125783678,9240516
20110131,13.590,13.700,13.420,13.570,99247493,7313069
20110201,13.620,13.650,13.450,13.570,99847635,7371370
20110209,13.450,13.610,13.030,13.200,94317019,7074539
20110210,13.180,13.710,13.060,13.630,133169783,9927030
20110211,13.600,13.700,13.500,13.660,152265190,11182351
20110214,13.620,15.030,13.610,15.030,311675060,21419480
20110215,16.310,16.530,16.140,16.530,1306696350,79314673
20110216,16.500,16.910,16.430,16.890,1143589110,68712116
20110217,17.080,17.080,16.330,16.670,678826930,40954247
20110218,16.600,17.870,16.410,17.100,1034668950,60116385
20110221,16.700,17.840,16.600,17.600,779691430,45091287
20110222,17.600,17.600,16.300,16.450,631193990,37466511
20110223,16.320,17.050,16.280,16.740,371491000,22329075
20110224,16.660,18.400,16.510,17.940,1030005640,58433592
20110225,17.850,18.370,17.300,17.770,712666330,40000563
20110228,17.800,18.480,17.380,18.090,627919440,34799517
20110301,17.800,18.240,17.380,17.470,738883860,41706029
20110302,17.200,17.200,16.580,16.810,553860120,32921065
20110303,16.790,17.140,16.550,16.590,344857020,20475976
20110304,16.610,17.360,16.380,17.340,436285840,25718073
20110308,17.730,17.880,17.340,17.480,516104180,29381458
20110309,17.500,18.090,17.500,17.600,434200970,24415509
20110310,17.610,17.610,16.880,16.930,318849790,18706237
20110311,16.750,17.680,16.430,17.310,395753240,22952840
20110314,16.990,17.400,16.720,17.160,228009620,13385471
20110315,17.000,17.250,16.400,17.110,334918040,19933060
20110316,17.090,17.400,16.760,17.380,498640050,29086285
20110317,17.080,17.160,16.500,16.590,317679430,18898097
20110318,16.850,17.000,16.600,16.690,159346520,9494167
20110321,16.600,16.770,16.400,16.520,154282800,9327201
20110322,16.650,16.940,16.360,16.760,225584530,13494354
20110323,16.680,17.980,16.610,17.390,562555610,32248574
20110324,17.390,17.500,17.130,17.260,271146710,15676596
20110325,17.280,17.960,17.200,17.700,610480600,34455358
20110328,17.900,18.450,17.730,17.940,599569780,33030767
20110329,18.000,18.290,17.610,17.670,442678110,24648508
20110330,17.500,17.600,16.900,17.260,392272330,22890229
20110331,17.050,17.400,16.690,16.800,212718290,12546106
20110401,16.800,17.280,16.650,17.270,181638750,10670711
20110406,17.180,19.000,17.040,19.000,792462930,43235016
20110407,19.200,19.200,18.670,18.950,774578980,40879855
20110408,18.800,19.320,18.710,19.100,657136500,34513845
20110411,19.100,19.260,18.710,18.830,540093470,28452105
20110412,18.650,18.850,18.300,18.430,475892830,25673968
20110413,18.360,19.970,18.200,19.580,755370240,39498720
20110414,19.380,19.670,18.930,19.080,494209980,25637497
20110415,18.880,19.660,18.750,19.440,559341730,28992507
20110418,19.350,19.700,19.110,19.520,453571820,23360513
20110419,19.200,19.300,18.310,18.420,504155330,26853435
20110420,18.530,18.640,18.200,18.430,274482730,14915201
20110421,18.620,19.970,18.400,19.150,594894430,30945297
