DATE_0,VWAP_CHANGE_0,DATE_0-remapped,Lag_VWAP_CHANGE_0-1,Lag_VWAP_CHANGE_0-2,Lag_VWAP_CHANGE_0-3,Lag_VWAP_CHANGE_0-4,Lag_VWAP_CHANGE_0-5,Lag_VWAP_CHANGE_0-6,Lag_VWAP_CHANGE_0-7,Lag_VWAP_CHANGE_0-8,Lag_VWAP_CHANGE_0-9,Lag_VWAP_CHANGE_0-10,Lag_VWAP_CHANGE_0-11,Lag_VWAP_CHANGE_0-12,DATE_0-remapped^2,DATE_0-remapped^3,DATE_0-remapped*Lag_VWAP_CHANGE_0-1,DATE_0-remapped*Lag_VWAP_CHANGE_0-2,DATE_0-remapped*Lag_VWAP_CHANGE_0-3,DATE_0-remapped*Lag_VWAP_CHANGE_0-4,DATE_0-remapped*Lag_VWAP_CHANGE_0-5,DATE_0-remapped*Lag_VWAP_CHANGE_0-6,DATE_0-remapped*Lag_VWAP_CHANGE_0-7,DATE_0-remapped*Lag_VWAP_CHANGE_0-8,DATE_0-remapped*Lag_VWAP_CHANGE_0-9,DATE_0-remapped*Lag_VWAP_CHANGE_0-10,DATE_0-remapped*Lag_VWAP_CHANGE_0-11,DATE_0-remapped*Lag_VWAP_CHANGE_0-12
01/03/11,-0.014508,0,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?
01/04/11,-0.006815,1,-0.014508,?,?,?,?,?,?,?,?,?,?,?,1,1,-0.014508,?,?,?,?,?,?,?,?,?,?,?
01/05/11,-0.006311,2,-0.006815,-0.014508,?,?,?,?,?,?,?,?,?,?,4,8,-0.013629,-0.029015,?,?,?,?,?,?,?,?,?,?
01/06/11,-0.016712,3,-0.006311,-0.006815,-0.014508,?,?,?,?,?,?,?,?,?,9,27,-0.018934,-0.020444,-0.043523,?,?,?,?,?,?,?,?,?
01/07/11,0.01547,4,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,?,?,?,?,?,16,64,-0.066846,-0.025245,-0.027259,-0.05803,?,?,?,?,?,?,?,?
01/08/11,-0.00155,5,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,?,?,?,?,25,125,0.077352,-0.083558,-0.031556,-0.034074,-0.072538,?,?,?,?,?,?,?
01/09/11,-0.01611,6,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,?,?,?,36,216,-0.009297,0.092823,-0.100269,-0.037867,-0.040888,-0.087045,?,?,?,?,?,?
01/10/11,0.003576,7,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,?,?,49,343,-0.112773,-0.010847,0.108293,-0.116981,-0.044178,-0.047703,-0.101553,?,?,?,?,?
01/11/11,0.010475,8,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,?,64,512,0.02861,-0.128884,-0.012397,0.123764,-0.133692,-0.050489,-0.054518,-0.116061,?,?,?,?
01/12/11,-0.029857,9,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,?,81,729,0.094273,0.032187,-0.144994,-0.013946,0.139234,-0.150404,-0.056801,-0.061333,-0.130568,?,?,?
01/13/11,-0.023926,10,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,?,100,1000,-0.29857,0.104748,0.035763,-0.161104,-0.015496,0.154705,-0.167115,-0.063112,-0.068147,-0.145076,?,?
01/14/11,-0.012204,11,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,?,121,1331,-0.263182,-0.328427,0.115223,0.039339,-0.177215,-0.017045,0.170175,-0.183827,-0.069423,-0.074962,-0.159583,?
01/15/11,0.029904,12,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,-0.014508,144,1728,-0.146446,-0.287107,-0.358284,0.125698,0.042915,-0.193325,-0.018595,0.185646,-0.200538,-0.075734,-0.081777,-0.174091
01/16/11,0.001269,13,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,-0.006815,169,2197,0.388749,-0.15865,-0.311033,-0.388141,0.136172,0.046492,-0.209436,-0.020144,0.201116,-0.21725,-0.082045,-0.088592
01/17/11,0.006902,14,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,-0.006311,196,2744,0.017767,0.418653,-0.170853,-0.334959,-0.417998,0.146647,0.050068,-0.225546,-0.021694,0.216587,-0.233962,-0.088357
01/18/11,0.016708,15,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,-0.016712,225,3375,0.103528,0.019036,0.448557,-0.183057,-0.358884,-0.447856,0.157122,0.053644,-0.241657,-0.023244,0.232057,-0.250673
01/19/11,0.019628,16,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,0.01547,256,4096,0.267328,0.11043,0.020305,0.47846,-0.195261,-0.38281,-0.477713,0.167597,0.05722,-0.257767,-0.024793,0.247528
01/20/11,-0.007772,17,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,-0.00155,289,4913,0.333676,0.284036,0.117332,0.021574,0.508364,-0.207465,-0.406736,-0.50757,0.178072,0.060797,-0.273878,-0.026343
01/21/11,-0.014254,18,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,-0.01611,324,5832,-0.13989,0.353304,0.300744,0.124233,0.022843,0.538268,-0.219669,-0.430661,-0.537427,0.188546,0.064373,-0.289988
01/22/11,-0.020507,19,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,0.003576,361,6859,-0.270821,-0.147662,0.372932,0.317452,0.131135,0.024112,0.568172,-0.231872,-0.454587,-0.567284,0.199021,0.067949
01/23/11,0.001798,20,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,0.010475,400,8000,-0.410135,-0.285074,-0.155434,0.39256,0.33416,0.138037,0.025381,0.598075,-0.244076,-0.478512,-0.597141,0.209496
01/24/11,0.008694,21,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,-0.029857,441,9261,0.037755,-0.430642,-0.299328,-0.163205,0.412188,0.350868,0.144939,0.026651,0.627979,-0.25628,-0.502438,-0.626998
01/25/11,0.011321,22,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,-0.023926,484,10648,0.191271,0.039553,-0.451149,-0.313582,-0.170977,0.431816,0.367576,0.151841,0.02792,0.657883,-0.268484,-0.526364
01/26/11,0.019108,23,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,-0.012204,529,12167,0.260386,0.199966,0.041351,-0.471655,-0.327835,-0.178749,0.451444,0.384284,0.158743,0.029189,0.687787,-0.280688
01/27/11,0.005136,24,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,0.029904,576,13824,0.458598,0.271707,0.20866,0.043148,-0.492162,-0.342089,-0.18652,0.471072,0.400992,0.165645,0.030458,0.717691
01/28/11,-0.02284,25,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,0.001269,625,15625,0.128389,0.477706,0.283028,0.217354,0.044946,-0.512669,-0.356343,-0.194292,0.4907,0.4177,0.172546,0.031727
01/29/11,0.00733,26,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,0.006902,676,17576,-0.593852,0.133525,0.496815,0.294349,0.226048,0.046744,-0.533176,-0.370596,-0.202064,0.510328,0.434408,0.179448
01/30/11,-0.001979,27,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,0.016708,729,19683,0.197898,-0.616693,0.13866,0.515923,0.30567,0.234742,0.048542,-0.553682,-0.38485,-0.209835,0.529956,0.451116
01/31/11,0.011554,28,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,0.019628,784,21952,-0.055416,0.205228,-0.639533,0.143796,0.535031,0.316991,0.243436,0.05034,-0.574189,-0.399104,-0.217607,0.549584
02/01/11,-0.009635,29,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,-0.007772,841,24389,0.335075,-0.057395,0.212557,-0.662374,0.148931,0.554139,0.328313,0.25213,0.052138,-0.594696,-0.413358,-0.225379
02/02/11,-0.012345,30,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,-0.014254,900,27000,-0.289037,0.346629,-0.059374,0.219887,-0.685214,0.154067,0.573248,0.339634,0.260825,0.053936,-0.615203,-0.427611
02/03/11,-0.003699,31,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,-0.020507,961,29791,-0.382688,-0.298671,0.358183,-0.061353,0.227217,-0.708055,0.159202,0.592356,0.350955,0.269519,0.055733,-0.635709
02/04/11,0.010219,32,-0.003699,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,0.001798,1024,32768,-0.118363,-0.395033,-0.308306,0.369738,-0.063332,0.234546,-0.730895,0.164338,0.611464,0.362276,0.278213,0.057531
02/05/11,0.005177,33,0.010219,-0.003699,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,0.008694,1089,35937,0.337239,-0.122062,-0.407378,-0.31794,0.381292,-0.065311,0.241876,-0.753736,0.169474,0.630572,0.373597,0.286907
02/06/11,0.004396,34,0.005177,0.010219,-0.003699,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,0.011321,1156,39304,0.176008,0.347458,-0.125761,-0.419722,-0.327575,0.392846,-0.06729,0.249205,-0.776576,0.174609,0.649681,0.384918
02/07/11,-0.016688,35,0.004396,0.005177,0.010219,-0.003699,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,0.019108,1225,42875,0.153843,0.181185,0.357678,-0.12946,-0.432067,-0.337209,0.404401,-0.06927,0.256535,-0.799416,0.179745,0.668789
02/08/11,-0.011284,36,-0.016688,0.004396,0.005177,0.010219,-0.003699,-0.012345,-0.009635,0.011554,-0.001979,0.00733,-0.02284,0.005136,1296,46656,-0.600785,0.158238,0.186361,0.367897,-0.133159,-0.444412,-0.346844,0.415955,-0.071249,0.263864,-0.822257,0.18488
