Shapelet_0,Shapelet_1,Shapelet_2,Shapelet_3,Shapelet_4,Shapelet_5,Shapelet_6,Shapelet_7,Shapelet_8,Shapelet_9,Shapelet_10,Shapelet_11,Shapelet_12,Shapelet_13,Shapelet_14,Shapelet_15,Shapelet_16,Shapelet_17,Shapelet_18,Shapelet_19,Shapelet_20,Shapelet_21,Shapelet_22,Shapelet_23,Shapelet_24,Shapelet_25,Shapelet_26,Shapelet_27,Shapelet_28,Shapelet_29,Shapelet_30,Shapelet_31,Shapelet_32,Shapelet_33,Shapelet_34,Shapelet_35,Shapelet_36,Shapelet_37,Shapelet_38,Shapelet_39,Shapelet_40,Shapelet_41,Shapelet_42,Shapelet_43,Shapelet_44,Shapelet_45,Shapelet_46,Shapelet_47,Shapelet_48,Shapelet_49,Shapelet_50,Shapelet_51,Shapelet_52,Shapelet_53,Shapelet_54,Shapelet_55,Shapelet_56,Shapelet_57,Shapelet_58,Shapelet_59,Shapelet_60,Shapelet_61,Shapelet_62,Shapelet_63,Shapelet_64,Shapelet_65,Shapelet_66,Shapelet_67,Shapelet_68,Shapelet_69,Shapelet_70,Shapelet_71,Shapelet_72,Shapelet_73,Shapelet_74,Shapelet_75,Shapelet_76,Shapelet_77,Shapelet_78,Shapelet_79,Shapelet_80,Shapelet_81,Shapelet_82,Shapelet_83,Shapelet_84,Shapelet_85,Shapelet_86,Shapelet_87,Shapelet_88,Shapelet_89,Shapelet_90,Shapelet_91,Shapelet_92,Shapelet_93,Shapelet_94,Shapelet_95,Shapelet_96,Shapelet_97,Shapelet_98,Shapelet_99,ACTUAL_VWAP_CHANGE_0
0.160778,0.14444,0.119414,0.119298,0.121519,0.125293,0.115128,0.135723,0.120385,0.114344,0.150928,0.142813,0.115724,0.113541,0.111715,0.120064,0.160622,0.110675,0.116192,0.151792,0.079705,0.109482,0.097554,0.116871,0.182398,0.132309,0.080418,0.131337,0.071726,0.071704,0.114027,0.096774,0.162341,0.092217,0.102391,0.091978,0.110927,0.054504,0.050278,0.109074,0.043618,0.044432,0.147255,0.092569,0.127027,0.066373,0.042951,0.134912,0.096884,0.071395,0.036365,0.090727,0.051388,0.052733,0.069527,0.044303,0.129839,0.062103,0.061382,0.1018,0.085009,0.065951,0.049648,0.121734,0.031198,0.040061,0.076482,0.077662,0.045764,0.094136,0.073785,0.160837,0.13868,0.091337,0.033399,0.11412,0.071613,0.133986,0.100217,0.071917,0.028437,0.036091,0.158528,0.039431,0.160704,0.027083,0.096739,0.089177,0.025704,0.069227,0.082291,0.080784,0.034078,0.154288,0.029621,0.133278,0.099099,0.061728,0.108519,0.084497,-0.68131
0.146706,0.110484,0.09435,0.104377,0.104171,0.110345,0.096338,0.134852,0.091542,0.09547,0.131527,0.103359,0.069511,0.10458,0.094515,0.090661,0.104503,0.114493,0.084616,0.08409,0.077803,0.141167,0.085866,0.104282,0.135188,0.095518,0.068844,0.13552,0.099778,0.099204,0.058112,0.111197,0.108335,0.075705,0.043358,0.099737,0.165958,0.022079,0.021756,0.090481,0.024844,0.023911,0.063216,0.045773,0.118826,0.020267,0.034384,0.065521,0.037848,0.018546,0.028677,0.131362,0.017805,0.017169,0.01551,0.024124,0.130633,0.012753,0.012633,0.032598,0.033563,0.105432,0.026049,0.113355,0.034618,0.044811,0.011835,0.011661,0.032215,0.05358,0.00872,0.106856,0.107706,0.156805,0.039249,0.158927,0.00951,0.063799,0.039625,0.07013,0.038313,0.040631,0.105728,0.041647,0.134126,0.041617,0.068908,0.107486,0.039726,0.100865,0.005497,0.005669,0.050181,0.106872,0.042732,0.144228,0.008542,0.069831,0.180838,0.004773,-0.677854
0.109478,0.079416,0.100599,0.111734,0.078718,0.083398,0.071125,0.107283,0.097494,0.080658,0.123826,0.07883,0.080566,0.130114,0.094329,0.120307,0.101816,0.108897,0.083769,0.083661,0.10144,0.142921,0.090491,0.097916,0.131919,0.093178,0.127241,0.090221,0.121616,0.125051,0.043823,0.138653,0.108269,0.14502,0.07966,0.084869,0.172319,0.149729,0.151228,0.134479,0.160353,0.158103,0.095919,0.053313,0.104741,0.139677,0.178893,0.057545,0.152681,0.133512,0.170421,0.142991,0.141131,0.138978,0.128834,0.155357,0.09584,0.126918,0.126708,0.140179,0.1006,0.127613,0.153353,0.120845,0.184542,0.199347,0.117691,0.116667,0.165675,0.127332,0.112647,0.131833,0.048627,0.159505,0.186599,0.155529,0.112738,0.065206,0.109522,0.126013,0.189992,0.186383,0.132161,0.185194,0.109269,0.199831,0.108861,0.095278,0.195407,0.163366,0.100827,0.101453,0.212181,0.094271,0.195141,0.120958,0.097601,0.136117,0.192512,0.097226,-0.616656
0.113249,0.119276,0.081255,0.068683,0.076754,0.099041,0.062485,0.09129,0.064474,0.058608,0.138102,0.134304,0.109425,0.067043,0.105599,0.09012,0.109374,0.112128,0.123086,0.142855,0.087044,0.093508,0.045332,0.078513,0.134161,0.052841,0.05456,0.062647,0.067912,0.048903,0.088672,0.119044,0.109846,0.14032,0.120933,0.077691,0.070763,0.01355,0.013812,0.099183,0.012387,0.013205,0.148744,0.079304,0.049719,0.017135,0.00642,0.147142,0.026901,0.019605,0.013623,0.092086,0.024318,0.025766,0.020813,0.026017,0.055503,0.024135,0.025597,0.0302,0.11084,0.028399,0.036808,0.069387,0.009187,0.00353,0.025616,0.026114,0.038594,0.153709,0.029415,0.122803,0.101483,0.066347,0.029107,0.091817,0.039025,0.144559,0.107976,0.05511,0.01892,0.034258,0.109096,0.039428,0.066859,0.00538,0.092482,0.078739,0.012642,0.070415,0.036984,0.038736,0.001899,0.073803,0.026966,0.122286,0.037335,0.064441,0.046038,0.041892,-0.46921
0.133205,0.110833,0.103142,0.117811,0.110393,0.104734,0.115949,0.106976,0.127308,0.130339,0.135138,0.115126,0.087663,0.113357,0.080112,0.11666,0.155976,0.077648,0.072726,0.100846,0.048213,0.082209,0.103953,0.103072,0.185702,0.138944,0.08063,0.115367,0.049918,0.058571,0.103956,0.050806,0.174795,0.049357,0.080486,0.074922,0.091487,0.043581,0.039935,0.131015,0.034115,0.034875,0.111072,0.091572,0.167789,0.054177,0.03323,0.122269,0.082169,0.058728,0.028075,0.049889,0.041843,0.043137,0.057136,0.036074,0.13802,0.050952,0.050473,0.086601,0.068075,0.064239,0.041866,0.102786,0.023332,0.030758,0.063537,0.064605,0.038876,0.057864,0.061488,0.18385,0.124236,0.07222,0.027414,0.069397,0.060609,0.112569,0.092118,0.072752,0.022046,0.030315,0.194385,0.033769,0.205293,0.019598,0.140008,0.08583,0.019083,0.072238,0.069531,0.068408,0.025575,0.171845,0.024031,0.071619,0.08423,0.05998,0.100587,0.071919,-0.438329
0.079555,0.08,0.078194,0.091979,0.071583,0.081979,0.089119,0.092404,0.09467,0.095552,0.103795,0.0729,0.054344,0.089705,0.072208,0.078268,0.107914,0.074166,0.066966,0.067263,0.06668,0.086866,0.099442,0.076394,0.118947,0.091954,0.089662,0.081366,0.072292,0.086033,0.068338,0.065386,0.10784,0.092653,0.105971,0.057355,0.102815,0.022217,0.017469,0.07553,0.013351,0.013103,0.067308,0.051566,0.131367,0.031123,0.022281,0.103517,0.067145,0.0337,0.007355,0.093312,0.009466,0.009544,0.029146,0.004854,0.096448,0.017636,0.015874,0.06694,0.108539,0.095501,0.004622,0.07665,0.008451,0.027463,0.031041,0.031839,0.003182,0.088781,0.023911,0.131597,0.046533,0.108263,0.000725,0.060094,0.015953,0.083862,0.118993,0.097844,0.001564,0.001041,0.146584,0.001794,0.126571,0.010875,0.076952,0.047297,0.003625,0.117589,0.025911,0.023324,0.025562,0.100528,0.000295,0.034594,0.044964,0.102969,0.116652,0.024602,-0.435576
0.112454,0.096004,0.076663,0.062404,0.078889,0.103364,0.073374,0.117692,0.062091,0.067748,0.099351,0.091843,0.084311,0.071666,0.086368,0.065051,0.083944,0.098212,0.093565,0.108849,0.072532,0.104107,0.066049,0.107043,0.094764,0.071464,0.060076,0.117158,0.072389,0.073664,0.062146,0.110623,0.075041,0.092453,0.069122,0.092899,0.113391,0.014636,0.01194,0.047068,0.008627,0.008916,0.099195,0.05236,0.050067,0.021734,0.010606,0.081503,0.046707,0.024526,0.005381,0.107239,0.012277,0.013034,0.022552,0.009919,0.095994,0.017385,0.017018,0.048439,0.053662,0.063052,0.01467,0.10578,0.003611,0.011719,0.02614,0.026859,0.014258,0.078044,0.023834,0.0726,0.095974,0.105251,0.007953,0.130952,0.02349,0.09155,0.071312,0.056175,0.003785,0.010447,0.059818,0.013234,0.071106,0.002862,0.029002,0.086991,0.002016,0.045677,0.02874,0.027997,0.009495,0.075279,0.006487,0.149734,0.040102,0.043652,0.111004,0.03028,-0.397197
0.135879,0.123115,0.115362,0.106824,0.116916,0.116182,0.116326,0.118053,0.111938,0.116968,0.14146,0.135005,0.131598,0.111843,0.111455,0.119602,0.163042,0.100974,0.119316,0.168301,0.07481,0.086576,0.097402,0.121877,0.179764,0.129977,0.096431,0.122727,0.060669,0.058429,0.119778,0.093679,0.167703,0.100269,0.118673,0.089554,0.083055,0.073447,0.069024,0.118626,0.061428,0.06248,0.176439,0.106937,0.113336,0.086561,0.058982,0.144565,0.11729,0.092311,0.053298,0.073155,0.071518,0.07314,0.090829,0.063264,0.120809,0.083567,0.082926,0.123468,0.109253,0.054995,0.069477,0.129163,0.046677,0.054282,0.099068,0.100381,0.064648,0.116312,0.096909,0.1729,0.126979,0.066762,0.049861,0.095135,0.095208,0.141787,0.130648,0.091975,0.043964,0.052914,0.162351,0.056705,0.158456,0.041075,0.116262,0.082975,0.040406,0.059179,0.10694,0.105445,0.04708,0.152973,0.045218,0.128319,0.124397,0.068084,0.08054,0.109744,-0.382205
0.093721,0.088993,0.092468,0.0947,0.093357,0.097797,0.103894,0.112134,0.09773,0.103566,0.117302,0.080634,0.072274,0.103907,0.085122,0.082395,0.108766,0.09572,0.081486,0.080812,0.082841,0.113323,0.1003,0.089903,0.130947,0.092827,0.109167,0.097301,0.099786,0.104055,0.069239,0.094687,0.114982,0.114518,0.112181,0.084799,0.125885,0.009966,0.007694,0.08304,0.007632,0.006993,0.070114,0.057864,0.142518,0.012844,0.016973,0.098121,0.038571,0.012995,0.007153,0.123348,0.001896,0.001565,0.009272,0.003427,0.098925,0.002637,0.001789,0.035502,0.112631,0.118578,0.004364,0.08431,0.01101,0.025153,0.008009,0.00826,0.007204,0.101538,0.003097,0.142786,0.050784,0.138378,0.010137,0.087479,0,0.091811,0.125906,0.114908,0.010023,0.011034,0.148255,0.011915,0.131638,0.016045,0.076269,0.069123,0.011756,0.143298,0.002123,0.001075,0.027356,0.100505,0.011924,0.05892,0.012221,0.120294,0.144144,0.001117,-0.353719
0.124206,0.103361,0.11271,0.108856,0.09956,0.11392,0.106462,0.144018,0.109622,0.112737,0.14167,0.102071,0.101309,0.123708,0.130194,0.112797,0.106833,0.150712,0.124238,0.106442,0.140187,0.179069,0.124157,0.124166,0.130002,0.094809,0.140573,0.120909,0.159301,0.158023,0.069763,0.174852,0.09902,0.182061,0.122941,0.117042,0.19861,0.109612,0.11088,0.11612,0.118758,0.116837,0.097308,0.070135,0.119484,0.101205,0.134789,0.100179,0.114321,0.096022,0.127692,0.197382,0.102783,0.101014,0.091907,0.115472,0.117712,0.090315,0.090236,0.103548,0.136953,0.163199,0.11472,0.137318,0.139809,0.152741,0.082521,0.081675,0.125787,0.155651,0.078281,0.133328,0.067623,0.212347,0.143388,0.185381,0.079132,0.095088,0.134896,0.156465,0.145441,0.143693,0.125305,0.143145,0.107364,0.153044,0.098402,0.124038,0.149681,0.193715,0.068559,0.069235,0.163929,0.07752,0.150749,0.146581,0.066081,0.172079,0.213255,0.065811,-0.331644
